sample_id,true_digit,is_anomaly,reconstruction_loss,leaf_assignment
0,5,0,81.96358,2
1,0,0,88.48021,5
2,4,0,82.96826,3
3,1,0,49.809383,0
4,9,0,78.38217,3
5,1,0,45.795574,3
6,3,0,95.205284,2
7,1,0,46.909256,3
8,4,0,72.79637,7
9,3,0,70.60649,2
10,5,0,66.71912,9
11,3,0,108.20813,4
12,6,0,100.60651,6
13,1,0,43.81723,3
14,7,0,71.475716,0
15,8,0,82.44382,8
16,6,0,74.51072,6
17,9,0,68.5713,1
18,4,0,99.1256,9
19,0,0,104.11487,5
20,9,0,71.02007,7
21,1,0,49.84374,0
22,1,0,79.72835,9
23,4,0,74.483246,3
24,3,0,95.86453,2
25,7,0,66.639786,0
26,3,0,89.066315,3
27,8,0,77.80324,8
28,6,0,74.499535,6
29,9,0,67.74271,0
30,0,0,79.10251,5
31,5,0,90.35183,9
32,6,0,69.073074,6
33,0,0,94.73766,5
34,7,0,77.881546,3
35,6,0,95.11335,6
36,1,0,42.034805,1
37,8,0,90.561554,8
38,7,0,61.822292,3
39,9,0,63.336998,1
40,3,0,93.56195,3
41,9,0,81.44508,3
42,8,0,92.013954,8
43,5,0,64.8054,9
44,9,0,81.94151,2
45,3,0,103.19923,2
46,3,0,90.71576,4
47,0,0,88.46917,5
48,7,0,78.99806,3
49,4,0,75.32142,1
50,9,0,87.49714,3
51,8,0,102.679184,8
52,0,0,92.4538,4
53,9,0,73.54205,1
54,4,0,62.471695,7
55,1,0,46.52281,0
56,4,0,81.47267,9
57,4,0,84.62528,7
58,6,0,74.450195,6
59,0,0,95.553635,5
60,4,0,69.60027,7
61,5,0,70.950005,9
62,6,0,61.77323,6
63,1,0,64.10188,1
64,0,0,107.51518,4
65,0,0,90.25622,5
66,1,0,57.74392,3
67,7,0,67.961624,0
68,1,0,47.732758,1
69,6,0,86.47202,6
70,3,0,74.92862,2
71,0,0,86.08762,5
72,1,0,50.327007,0
73,1,0,60.83027,0
74,7,0,74.59742,0
75,9,0,101.33161,4
76,0,0,84.68353,5
77,6,0,78.294655,6
78,7,0,69.54348,3
79,8,0,109.105225,8
80,3,0,76.05017,3
81,9,0,80.1044,1
82,0,0,114.89682,4
83,4,0,86.021286,7
84,6,0,92.3277,6
85,7,0,80.84434,0
86,4,0,63.678627,7
87,6,0,101.59756,6
88,8,0,86.689064,8
89,0,0,84.81638,5
90,7,0,59.85105,0
91,8,0,98.649376,8
92,3,0,77.67056,2
93,1,0,55.071663,0
94,5,0,62.778625,9
95,7,0,75.91797,0
96,1,0,42.199703,3
97,7,0,77.83984,0
98,1,0,56.825047,3
99,1,0,59.95556,0
100,6,0,80.14709,6
101,3,0,91.00843,2
102,0,0,114.325615,4
103,9,0,70.32092,7
104,3,0,96.07967,2
105,1,0,42.12398,1
106,1,0,70.631775,0
107,0,0,102.31573,4
108,4,0,72.17851,7
109,9,0,77.171005,3
110,0,0,107.48954,4
111,0,0,99.58767,5
112,0,0,98.39347,4
113,7,0,68.484505,0
114,1,0,46.42874,1
115,8,0,74.41962,8
116,6,0,76.41568,6
117,4,0,76.20545,7
118,1,0,47.3944,1
119,6,0,77.30653,6
120,3,0,81.35858,2
121,4,0,83.73711,7
122,5,0,57.28578,2
123,9,0,64.917046,1
124,1,0,61.791634,3
125,3,0,95.98341,2
126,3,0,80.03343,2
127,8,0,52.675346,0
128,5,0,83.2568,4
129,4,0,70.28515,7
130,7,0,56.491413,0
131,7,0,66.30317,0
132,4,0,70.13351,7
133,8,0,101.89262,9
134,5,0,72.31468,9
135,8,0,93.0567,8
136,6,0,75.42648,6
137,7,0,69.881744,7
138,3,0,86.516335,2
139,4,0,70.085655,6
140,6,0,74.78314,6
141,1,0,59.506645,1
142,9,0,74.22154,1
143,9,0,85.82704,3
144,6,0,78.107254,6
145,0,0,94.92611,4
146,3,0,77.97075,2
147,7,0,79.12499,9
148,8,0,77.30043,3
149,9,0,77.219574,3
150,4,0,77.2844,7
151,4,0,79.99297,9
152,6,0,72.5335,6
153,4,0,67.347855,7
154,9,0,77.811424,1
155,7,0,71.75135,0
156,0,0,87.79007,5
157,9,0,72.71631,3
158,9,0,84.06279,3
159,5,0,74.59943,9
160,1,0,41.56909,1
161,5,0,72.84235,9
162,9,0,75.30507,3
163,1,0,51.572517,0
164,3,0,104.14322,2
165,3,0,88.049736,2
166,5,0,88.02717,4
167,9,0,72.68693,1
168,1,0,43.047523,3
169,7,0,78.161194,0
170,6,0,84.340935,6
171,8,0,82.273605,7
172,5,0,72.18087,9
173,0,0,80.61632,5
174,7,0,87.89565,0
175,4,0,61.314632,7
176,9,0,71.81897,1
177,7,0,65.90321,3
178,8,0,101.1276,8
179,3,0,84.10523,3
180,1,0,47.629055,3
181,1,0,53.53637,0
182,8,0,89.870316,8
183,3,0,103.99656,2
184,6,0,64.74797,6
185,1,0,65.42028,0
186,0,0,105.20439,4
187,3,0,83.37892,2
188,1,0,50.445774,1
189,0,0,101.79071,4
190,0,0,95.2292,4
191,1,0,37.04709,1
192,7,0,70.604866,3
193,7,0,69.80534,3
194,3,0,82.75853,2
195,0,0,85.41955,4
196,4,0,61.850716,7
197,6,0,97.23712,6
198,5,0,86.75064,9
199,6,0,90.47076,6
200,4,0,75.44104,9
201,7,0,70.01412,0
202,1,0,71.67284,0
203,8,0,84.71263,8
204,9,0,83.64708,3
205,9,0,83.96913,3
206,3,0,80.540184,9
207,0,0,105.57288,4
208,7,0,59.155853,0
209,1,0,46.130516,1
210,0,0,62.889236,7
211,0,0,107.46365,4
212,3,0,76.69331,2
213,5,0,78.40277,9
214,4,0,65.70109,7
215,6,0,82.781654,6
216,5,0,78.99601,9
217,8,0,80.706215,3
218,6,0,70.80311,6
219,3,0,89.753914,2
220,7,0,71.16596,0
221,5,0,78.04065,5
222,8,0,88.07751,8
223,0,0,111.42867,4
224,9,0,72.74057,3
225,1,0,62.78378,3
226,0,0,97.86001,4
227,3,0,85.04691,3
228,1,0,41.58921,1
229,3,0,109.04461,4
230,3,0,80.18839,2
231,6,0,68.848404,8
232,4,0,67.261894,7
233,7,0,65.549194,0
234,5,0,95.16836,9
235,0,0,104.42772,4
236,6,0,75.18265,6
237,7,0,69.42987,0
238,9,0,70.20892,7
239,8,0,95.85106,8
240,5,0,92.1368,9
241,9,0,68.78051,3
242,1,0,48.90203,1
243,1,0,55.767277,1
244,4,0,57.620426,7
245,4,0,84.61469,3
246,5,0,77.17351,9
247,6,0,82.10709,9
